il;ilce;hicri;miladi;imsak;gunes;ogle;ikindi;aksam;yatsi;bayram_namazi
ADANA;ADANA;1 Ramazan 1444;23.05.2023;05:12;06:32;12:50;16:18;18:59;20:14;06:27
ADANA;ADANA;2 Ramazan 1444;24.05.2023;05:10;06:30;12:50;16:18;19:00;20:15;06:27
ADANA;ADANA;3 Ramazan 1444;25.05.2023;05:08;06:29;12:50;16:18;19:01;20:16;06:27
ADANA;ADANA;4 Ramazan 1444;26.05.2023;05:07;06:27;12:50;16:19;19:02;20:17;06:27
ADANA;ADANA;5 Ramazan 1444;27.05.2023;05:05;06:26;12:49;16:19;19:03;20:18;06:27
ADANA;ADANA;6 Ramazan 1444;28.05.2023;05:04;06:24;12:49;16:19;19:04;20:19;06:27
ADANA;ADANA;7 Ramazan 1444;29.05.2023;05:02;06:23;12:49;16:20;19:05;20:20;06:27
ADANA;ADANA;8 Ramazan 1444;30.05.2023;05:00;06:21;12:48;16:20;19:05;20:21;06:27
ADANA;ADANA;9 Ramazan 1444;31.05.2023;04:59;06:20;12:48;16:20;19:06;20:22;06:27
ADANA;ADANA;10 Ramazan 1444;1.04.2023;04:57;06:18;12:48;16:20;19:07;20:23;06:27
ADANA;ADANA;11 Ramazan 1444;2.04.2023;04:55;06:17;12:47;16:21;19:08;20:24;06:27
ADANA;ADANA;12 Ramazan 1444;3.04.2023;04:54;06:16;12:47;16:21;19:09;20:25;06:27
ADANA;ADANA;13 Ramazan 1444;4.04.2023;04:52;06:14;12:47;16:21;19:10;20:26;06:27
ADANA;ADANA;14 Ramazan 1444;5.04.2023;04:50;06:13;12:47;16:21;19:11;20:28;06:27
ADANA;ADANA;15 Ramazan 1444;6.04.2023;04:49;06:11;12:46;16:22;19:12;20:29;06:27
ADANA;ADANA;16 Ramazan 1444;7.04.2023;04:47;06:10;12:46;16:22;19:12;20:30;06:27
ADANA;ADANA;17 Ramazan 1444;8.04.2023;04:45;06:08;12:46;16:22;19:13;20:31;06:27
ADANA;ADANA;18 Ramazan 1444;9.04.2023;04:44;06:07;12:45;16:22;19:14;20:32;06:27
ADANA;ADANA;19 Ramazan 1444;10.04.2023;04:42;06:05;12:45;16:23;19:15;20:33;06:27
ADANA;ADANA;20 Ramazan 1444;11.04.2023;04:40;06:04;12:45;16:23;19:16;20:34;06:27
ADANA;ADANA;21 Ramazan 1444;12.04.2023;04:39;06:03;12:45;16:23;19:17;20:35;06:27
ADANA;ADANA;22 Ramazan 1444;13.04.2023;04:37;06:01;12:44;16:23;19:18;20:36;06:27
ADANA;ADANA;23 Ramazan 1444;14.04.2023;04:35;06:00;12:44;16:23;19:19;20:37;06:27
ADANA;ADANA;24 Ramazan 1444;15.04.2023;04:34;05:58;12:44;16:24;19:19;20:39;06:27
ADANA;ADANA;25 Ramazan 1444;16.04.2023;04:32;05:57;12:44;16:24;19:20;20:40;06:27
ADANA;ADANA;26 Ramazan 1444;17.04.2023;04:30;05:56;12:43;16:24;19:21;20:41;06:27
ADANA;ADANA;27 Ramazan 1444;18.04.2023;04:29;05:54;12:43;16:24;19:22;20:42;06:27
ADANA;ADANA;28 Ramazan 1444;19.04.2023;04:27;05:53;12:43;16:24;19:23;20:43;06:27
